prelims_year,prelims_exam_stage,prelims_question_type,prelims_subject,prelims_sub_topic,prelims_keywords,prelims_difficulty_level,prelims_question_formate,prelims_current_affairs_linked,prelims_repeated_theme
2011,Prelims,Mixed,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Easy,Factual,No,No
2011,Prelims,Mixed,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Hard,Factual,Yes,No
2011,Prelims,Current,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Easy,Statement-based,Yes,No
2011,Prelims,Current,Science & Tech,Biotechnology,"genetic engineering, recombinant DNA, GM crops, cloning, vaccines, CRISPR",Easy,Statement-based,No,No
2011,Prelims,Current,Environment,Conservation,"protected areas, national parks, wildlife sanctuaries, biosphere reserves, in-situ, ex-situ",Easy,Conceptual,No,No
2011,Prelims,Static,Science & Tech,IT,"innovation, research, applications, technology",Medium,Statement-based,Yes,No
2011,Prelims,Mixed,Geography,Physical Geography,"landforms, climate, resources, location, mapping",Medium,Statement-based,Yes,Yes
2011,Prelims,Current,History,Medieval India,"delhi sultanate, mughals, administration, culture, economy",Hard,Factual,Yes,No
2011,Prelims,Current,History,Modern India,"freedom struggle, nationalism, colonialism, congress, mass movements, reforms",Hard,Conceptual,Yes,Yes
2011,Prelims,Static,Science & Tech,Biotechnology,"genetic engineering, recombinant DNA, GM crops, cloning, vaccines, CRISPR",Hard,Conceptual,No,No
2011,Prelims,Static,Economy,Inflation,"growth, development, policy, indicators, reforms",Medium,Factual,No,No
2011,Prelims,Mixed,Science & Tech,Defence Tech,"innovation, research, applications, technology",Easy,Factual,Yes,No
2011,Prelims,Static,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Easy,Statement-based,No,No
2011,Prelims,Current,Economy,Banking,"growth, development, policy, indicators, reforms",Medium,Conceptual,Yes,Yes
2011,Prelims,Static,Geography,World Geography,"latitude, longitude, ocean currents, climate zones, landforms, plate tectonics",Hard,Conceptual,No,Yes
2011,Prelims,Mixed,Environment,Climate Change,"greenhouse gases, global warming, IPCC, carbon cycle, mitigation, adaptation, UNFCCC, Paris Agreement",Hard,Factual,No,Yes
2011,Prelims,Current,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Easy,Statement-based,No,No
2011,Prelims,Mixed,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Medium,Factual,No,Yes
2011,Prelims,Mixed,Science & Tech,Space Technology,"satellites, ISRO, launch vehicles, remote sensing, navigation",Hard,Statement-based,Yes,Yes
2011,Prelims,Static,Science & Tech,Defence Tech,"innovation, research, applications, technology",Medium,Statement-based,Yes,Yes
2011,Prelims,Static,Polity,Fundamental Rights,"constitution, governance, institutions, rights, democracy",Hard,Conceptual,Yes,No
2011,Prelims,Mixed,Geography,Indian Geography,"monsoon, rivers, drainage, soil types, physiography, resources",Hard,Conceptual,Yes,Yes
2011,Prelims,Mixed,Geography,Climatology,"atmospheric circulation, pressure belts, winds, precipitation, cyclones",Easy,Statement-based,No,No
2011,Prelims,Mixed,Science & Tech,Defence Tech,"innovation, research, applications, technology",Medium,Conceptual,Yes,Yes
2011,Prelims,Current,Polity,Constitutional Bodies,"constitution, governance, institutions, rights, democracy",Hard,Statement-based,Yes,Yes
